pl_name,disc_year,disc_pubdate,sy_dist,discoverymethod,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_eqt,pl_insol,st_teff,st_mass,st_rad
K2-66 b,2016,2016-09,513.87700000,Transit,5.06965000000,0.0606900000,2.49000000,,,897.0000,5958.00,1.160000,1.710000
K2-390 b,2022,2022-03,456.12200000,Transit,3.31279200000,,4.66200000,,,,5558.00,0.789000,0.966000
Kepler-1594 b,2016,2016-05,976.86800000,Transit,,,0.95900000,,,672.4140,6010.00,,0.949000
Kepler-1289 b,2016,2016-05,1053.57000000,Transit,,,1.54000000,,,223.4420,5696.00,,1.207000
Kepler-1910 b,2021,2022-02,,Transit,5.68881400000,0.0520000000,0.86000000,,599.00,,4201.00,0.572000,0.544000
Kepler-1210 b,2016,2016-05,1176.53000000,Transit,8.07073000000,0.0780000000,1.55000000,,868.00,,5791.00,0.957000,0.900000
KOI-4777.01,2022,2022-01,172.24500000,Transit,0.82400012500,0.0113000000,0.42000000,,746.00,73.0900,3396.00,0.280000,0.280000
K2-155 c,2018,2018-03,72.79980000,Transit,13.85327454047,,2.20988390,,450.75,9.7561,3893.47,,0.655766
WASP-58 b,2012,2013-01,290.40400000,Transit,5.01721370000,,,,,,5800.00,0.940000,1.170000
Kepler-182 c,2014,2014-03,1549.09000000,Transit,20.68422311000,,3.90000000,,,,6120.00,1.160000,1.230000
Kepler-1434 b,2016,2016-05,775.52900000,Transit,8.05334000000,0.0840000000,1.09000000,,1205.00,,6354.00,1.230000,1.550000
K2-193 b,2018,2018-03,411.92300000,Transit,14.78688900000,0.1184000000,3.95000000,,739.00,,5817.00,1.010000,0.980000
Kepler-123 b,2014,2014-03,1021.66000000,Transit,17.23231686000,0.1339900000,3.02600000,,,124.7000,6154.00,1.079000,1.318000
HD 18143 b,2022,2022-09,22.52430000,Radial Velocity,10.28510000000,0.0880000000,,,,,,0.850000,
Kepler-1072 b,2016,2016-05,982.71600000,Transit,1.56906659800,0.0269000000,1.68000000,,1849.00,2763.3900,5821.00,1.054000,1.395000
TOI-2583 A b,2023,2023-03,566.18900000,Transit,4.52072650000,0.0571000000,14.45958510,79.45710175,1456.00,750.9000,5936.00,1.215000,1.477000
Kepler-193 c,2014,2014-03,1009.10000000,Transit,50.69844480000,,3.02000000,,,,6155.00,1.140000,1.210000
K2-273 b,2018,2018-12,308.10500000,Transit,11.72210300000,,2.80000000,,,,5170.00,,0.838000
TIC 172900988 b,2021,2021-12,250.95600000,Transit,204.04600000000,0.9135900000,11.27000000,981.30000000,,,6050.00,1.238400,1.384400
K2-86 b,2016,2016-09,258.69900000,Transit,8.77709000000,,5.10000000,,,,,,0.800000
Kepler-23 b,2011,2012-05,835.75600000,Transit,,,1.72800000,,,446.1070,5823.00,,1.523000
Kepler-220 b,2014,2014-03,171.10900000,Transit,4.15981712200,,0.77000000,,,,4591.00,0.650000,0.640000
Kepler-200 b,2014,2014-03,665.91200000,Transit,8.59479202000,0.0832000000,2.92000000,,1046.00,283.0300,6053.00,1.038000,1.277000
Kepler-85 d,2014,2014-03,765.02500000,Transit,,,1.38600000,,,38.3900,5520.00,,0.868000
Kepler-1055 b,2016,2016-05,389.39700000,Transit,2.29503026490,,,,,,5681.94,1.010000,0.870100
Kepler-1862 b,2021,2022-02,1232.19000000,Transit,16.05732910000,,,,,,5391.00,0.940000,0.894824
TOI-1803 c,2025,2025-03,119.24000000,Transit,12.88577900000,0.0970000000,4.29000000,8.00000000,588.00,22.0000,4687.00,0.756000,0.715000
Kepler-389 b,2014,2014-03,816.55900000,Transit,3.24416463000,0.0392500000,1.33100000,,,168.7000,5072.00,0.765000,0.662000
HD 15906 b,2023,2023-08,45.56210000,Transit,10.92470900000,0.0900000000,2.24000000,,668.00,33.1400,4757.00,0.790000,0.762000
Kepler-531 b,2016,2016-05,252.76200000,Transit,29.88487723000,,,,,,4784.52,0.772000,0.770720
TOI-2257 b,2021,2022-01,57.79110000,Transit,35.18964443753,,2.22536959,,230.78,0.6703,3446.00,,0.326932
Kepler-1398 c,2016,2016-05,852.20400000,Transit,4.13828400000,0.0520000000,0.85000000,,1243.00,,6263.00,1.120000,1.050000
OGLE-2012-BLG-0026L c,2012,2013-01,4080.00000000,Microlensing,,4.6300000000,,220.00000000,,,,0.820000,
Kepler-400 c,2014,2014-03,845.97000000,Transit,17.34087350000,,,,,,5915.11,,
Kepler-1064 b,2016,2016-05,,Transit,16.54080322000,0.1126000000,1.26000000,,537.00,19.7100,5094.00,0.694000,0.644000
Kepler-1815 b,2021,2022-02,1006.63000000,Transit,12.19140405000,0.0984000000,2.46000000,,763.00,80.0100,5516.00,0.856000,0.967000
Kepler-185 b,2014,2014-03,466.73500000,Transit,1.63291885300,0.0254000000,1.16000000,,1282.00,638.6700,5205.00,0.815000,0.792000
Kepler-1450 b,2016,2016-05,505.82900000,Transit,54.50915490000,,,,,,4581.87,0.720000,0.655719
Kepler-242 b,2014,2014-03,600.24100000,Transit,8.20396870000,0.0722800000,2.47800000,,,44.0000,4876.00,0.748000,0.673000
K2-118 b,2017,2017-11,321.72200000,Transit,50.92092000000,0.2450000000,2.54000000,,,4.3000,4726.29,0.756446,0.734626
WASP-150 b,2020,2020-06,527.99500000,Transit,5.64421124175,,11.44628951,,1379.03,854.7074,6310.00,,1.635910
Kepler-269 c,2014,2014-03,2257.32000000,Transit,8.12789900000,0.0810000000,1.69000000,,,,5847.00,,0.959000
Kepler-881 b,2016,2016-05,1375.18000000,Transit,4.44448017000,,1.78000000,,,,5961.00,1.060000,1.090000
HD 98736 b,2018,2018-11,32.44590000,Radial Velocity,968.80000000000,1.8640000000,,,,,5271.00,0.920000,0.930000
XO-1 b,2006,2006-09,163.55300000,Transit,3.94151280000,0.0494400000,13.51805400,293.67492000,1210.00,,5750.00,1.037000,0.942000
Kepler-779 b,2016,2016-05,283.15500000,Transit,7.09714223000,0.0537000000,0.83000000,,428.00,7.9300,3555.00,0.410000,0.400000
K2-174 b,2018,2018-03,99.92930000,Transit,19.56236000000,,2.78000000,,,,,,0.669000
Kepler-553 b,2016,2016-05,728.52500000,Transit,4.03046803700,0.0488000000,4.86000000,,1051.00,288.3800,5551.00,0.952000,0.899000
HAT-P-49 b,2014,2014-04,350.35100000,Transit,2.69155536000,,,,,,6820.00,1.543000,1.833000
V1298 Tau b,2019,2019-08,108.19900000,Transit,24.13861000000,0.1687000000,10.22000000,,668.00,33.2000,4970.00,1.099000,1.314000
Kepler-156 b,2014,2014-03,443.48300000,Transit,4.97345525200,0.0536000000,2.46000000,,867.00,133.5500,5097.00,0.829000,0.797000
Kepler-1985 b,2023,2023-05,,Transit,3.42065000500,,2.22099996,,,,5370.00,0.877000,0.966000
HIP 35965 b,2022,2022-09,50.16770000,Radial Velocity,26125.56497000000,15.8980000000,,2589.98368864,,,,0.780000,
HD 69830 b,2006,2006-05,12.55910000,Radial Velocity,8.66945000000,0.0794000000,,,,,5420.58,0.889787,0.886947
Kepler-1713 b,2021,2022-02,295.29300000,Transit,18.01167665000,0.1418500000,1.72800000,,,144.3000,6302.00,1.173000,1.432000
Kepler-1930 b,2021,2022-02,275.69400000,Transit,13.02678441000,0.1023300000,1.45600000,,,31.6000,5081.00,0.841000,0.744000
Kepler-605 c,2016,2016-05,556.58000000,Transit,2.35895151500,0.0337000000,0.80000000,,1183.00,463.3700,5438.00,0.920000,0.820000
Kepler-207 b,2014,2014-03,875.51900000,Transit,1.61188717700,0.0275000000,1.09000000,,1712.00,2028.4800,6110.00,1.065000,1.109000
HD 183579 b,2021,2021-03,57.26510000,Transit,17.47130782378,,3.57668278,,689.36,53.3700,5783.54,,0.974669
Kepler-162 c,2014,2014-03,855.64100000,Transit,,,3.91200000,,,77.0520,5870.00,,1.152000
Kepler-206 c,2014,2014-03,594.44700000,Transit,13.13747785000,0.1084000000,1.85000000,,825.00,109.6800,5762.00,0.982000,1.143000
HD 73534 b,2008,2009-09,83.33210000,Radial Velocity,1770.00000000000,3.0200000000,,,,,4973.00,1.400000,2.630000
Kepler-1550 b,2016,2016-05,1179.01000000,Transit,225.58280900000,0.7333000000,2.65000000,,312.00,2.2400,6184.00,1.031000,0.959000
K2-72 d,2016,2016-09,66.43210000,Transit,7.76017800000,0.0500000000,1.01000000,,,5.4000,3360.47,0.271365,0.330989
Kepler-81 b,2012,2013-10,348.29100000,Transit,5.95489993000,0.0554000000,2.33000000,,635.00,38.5200,4261.00,0.640000,0.633000
NGC 2682 Sand 978 b,2017,2017-07,821.91800000,Radial Velocity,511.21000000000,,,,,,4200.00,1.370000,
Kepler-402 e,2014,2014-03,625.33900000,Transit,11.24284815000,,,,,,6223.39,1.200000,1.087290
K2-218 b,2018,2018-03,394.08300000,Transit,8.67988500000,,2.56948149,,,,5757.00,1.047488,1.008231
Kepler-102 b,2014,2014-02,107.79600000,Transit,5.28696500000,0.0552100000,0.46000000,1.10000000,857.00,90.0000,4909.00,0.803000,0.724000
TOI-544 b,2022,2022-02,41.11660000,Transit,1.54835100000,0.0251000000,2.03000000,,1082.00,,4369.00,0.850000,0.660000
Kepler-737 b,2016,2016-05,205.11800000,Transit,28.60000000000,,2.05000000,,,,,,
Kepler-282 b,2014,2014-03,1337.61000000,Transit,9.22076910000,0.0796000000,1.02000000,,817.00,105.6300,5600.00,0.793000,0.872000
TOI-1246 d,2022,2022-04,169.42200000,Transit,18.65590000000,0.1310000000,3.51000000,5.30000000,586.00,28.0000,5151.00,0.870000,0.860000
Kepler-48 e,2014,2014-02,306.73800000,Radial Velocity,982.00000000000,,,657.00000000,,,5194.00,0.880000,0.890000
K2-383 b,2022,2022-03,203.78800000,Transit,1.86597900000,,1.85861238,,,,5231.00,,0.825125
MOA-2022-BLG-033L b,2025,2025-02,1840.00000000,Microlensing,,2.1500000000,,12.15000000,,,,0.510000,
GJ 338 B b,2020,2020-05,6.33256000,Radial Velocity,24.45000000000,0.1410000000,,,391.00,,4005.00,0.640000,0.580000
Kepler-310 b,2014,2014-03,602.26800000,Transit,13.93068791000,0.1116000000,1.40000000,,665.00,46.1900,5497.00,0.952000,0.839000
MOA-2008-BLG-310L b,2009,2010-03,7700.00000000,Microlensing,,1.1000000000,,23.40000000,,,,0.210000,
Kepler-1741 b,2021,2022-02,270.73900000,Transit,2.75759025000,0.0301000000,1.17000000,,640.00,39.6800,3712.00,0.480000,0.460000
Kepler-797 b,2016,2016-05,1315.26000000,Transit,27.07237711000,0.1656000000,1.94000000,,554.00,22.2600,5589.00,0.825000,0.836000
TOI-122 b,2020,2021-01,62.11800000,Transit,5.07803000000,0.0392000000,2.72000000,,471.00,8.8000,3403.00,0.312000,0.334000
Kepler-62 b,2013,2013-05,300.87400000,Transit,5.71489071700,0.0538000000,1.33000000,,737.00,69.8100,4797.00,0.637000,0.653000
Kepler-321 b,2014,2014-03,384.54200000,Transit,4.91538545200,0.0570000000,1.46000000,,1042.00,279.4300,5772.00,1.022000,0.956000
TOI-244 b,2023,2023-03,22.03370000,Transit,7.39721598356,,1.27111313,,409.94,6.6744,3342.00,,0.407103
WASP-147 b,2018,2019-01,436.09800000,Transit,4.60274400000,,,,,,5702.00,1.044000,1.429000
Kepler-1207 b,2016,2016-05,1754.19000000,Transit,13.68246021770,,,,,,5838.00,1.050000,2.037370
WASP-34 b,2010,2011-02,132.09600000,Transit,4.31768590000,,13.39260000,,1084.00,229.9620,5700.00,,1.110000
Kepler-1326 b,2016,2016-05,698.32600000,Transit,,,3.22400000,,,47.8400,6858.00,,1.346000
Kepler-140 c,2014,2014-03,583.85900000,Transit,91.35158670000,0.4159000000,1.54000000,,435.00,8.4700,6167.00,1.149000,1.064000
ROXs 12 b,2013,2014-01,136.65000000,Imaging,,210.0000000000,,5085.00000000,,,3850.00,0.870000,
Kepler-1066 b,2016,2016-05,344.25100000,Transit,1.93155971000,,,,,,5560.36,0.980000,0.865904
Kepler-985 b,2016,2016-05,679.36100000,Transit,116.33178505000,,,,,,5451.00,0.950000,0.809632
Kepler-869 b,2016,2016-05,939.45500000,Transit,40.42883422000,,,,,,5575.00,0.980000,0.943902
TOI-1136 d,2022,2022-10,84.53620000,Transit,12.51937000000,,4.62700000,,,,5770.00,1.022000,0.968000
2M0437 b,2021,2021-10,128.48400000,Imaging,,118.0000000000,,1271.31362800,1450.00,,3100.00,0.170000,0.840000
HD 154672 b,2008,2008-11,63.04840000,Radial Velocity,163.96700000000,0.5900000000,,,,,5655.00,1.080000,1.440000
Kepler-466 b,2016,2016-05,530.12200000,Transit,51.07926307000,,2.85000000,,,,5927.00,1.040000,1.050000
OGLE-2018-BLG-0962L b,2021,2021-06,6500.00000000,Microlensing,,3.5900000000,,425.89006538,,,,0.540000,
Kepler-332 d,2014,2014-03,344.19000000,Transit,34.21154000000,0.1890000000,1.18000000,,,,4955.00,,0.720000
Proxima Cen b,2016,2016-08,1.30119000,Radial Velocity,11.18550000000,,,,,,,,0.154000
Kepler-320 c,2014,2014-03,826.61300000,Transit,17.93465630000,0.1379000000,1.41000000,,777.00,86.0400,6412.00,1.084000,1.040000
BD+63 1405 b,2021,2021-07,38.04730000,Radial Velocity,1198.48000000000,2.0600000000,,,,,5000.00,0.816000,
K2-156 b,2018,2018-03,150.21000000,Transit,0.81314000000,0.0149000000,1.15000000,,1347.00,,4597.00,0.660000,0.660000
Kepler-364 c,2014,2014-03,891.46200000,Transit,,,2.67500000,,,22.2340,6090.00,,1.319000
HATS-60 b,2018,2019-02,486.47400000,Transit,3.56083200000,,,,,,5688.00,1.097000,1.460000
K2-99 b,2016,2017-01,519.22900000,Transit,18.25198500000,0.1597000000,11.73000000,,1113.00,,6217.00,1.630000,2.630000
Kepler-1336 c,2016,2016-05,1126.64000000,Transit,5.77721211000,,1.71000000,,,,5512.00,0.940000,1.300000
MOA-2011-BLG-262L b,2014,2014-04,,Microlensing,,,,,,,,,
Kepler-659 b,2016,2016-05,722.64000000,Transit,17.67179600000,0.1205000000,2.33000000,,516.00,16.7500,4867.00,0.753000,0.696000
BD+20 594 b,2016,2016-10,179.46100000,Transit,41.68550000000,,2.57807000,22.24810000,,,5766.00,1.670000,1.080000
